rack,camera,day,lizard_id,test,measure_small,measure_big,diff_measure
A,1,1,2882,1 VS 4,0.71,1.97,1.26
A,1,1,2940,1 VS 3,1.02,1.33,0.31
A,1,1,2999,2 VS 3,1.21,1.21,0
A,1,1,3061,1 VS 3,0.95,1.43,0.48
A,2,1,2893,3 VS 4,1.66,1.48,-0.18
A,2,1,3058,1 VS 4,0.99,2.16,1.17
A,2,1,3127,2 VS 4,1.7,2.06,0.36
A,3,1,2946,2 VS 3,1.75,1.84,0.09
A,3,1,2972,1 VS 4,0.71,2,1.29
A,3,1,2986,1 VS 3,1.06,1.59,0.53
A,3,1,3004,3 VS 4,1.43,1.67,0.24
A,4,1,2917,2 VS 4,1.72,2.04,0.32
A,4,1,3037,3 VS 4,1.22,2.14,0.92
A,4,1,3131,1 VS 4,0.91,1.94,1.03
A,1,2,2882,1 VS 3,0.76,1.67,0.91
A,1,2,2940,2 VS 4,1.87,1.85,-0.02
A,1,2,2999,3 VS 4,1.8,1.86,0.06
A,1,2,3061,2 VS 4,1.68,1.72,0.04
A,2,2,2893,1 VS 4,0.81,1.97,1.16
A,2,2,3058,1 VS 3,0.9,1.46,0.56
A,2,2,3127,2 VS 3,1.81,1.66,-0.15
A,3,2,2946,3 VS 4,1.88,2.1,0.22
A,3,2,2972,1 VS 3,0.87,1.52,0.65
A,3,2,2986,2 VS 4,1.81,1.83,0.02
A,3,2,3004,1 VS 4,0.8,1.97,1.17
A,4,2,2917,2 VS 3,1.75,1.49,-0.26
A,4,2,3037,1 VS 4,1.07,2.13,1.06
A,4,2,3131,1 VS 3,1.04,1.77,0.73
A,1,3,2882,2 VS 4,1.9,2.16,0.26
A,1,3,2940,2 VS 3,1.7,1.45,-0.25
A,1,3,2999,1 VS 4,0.89,2.21,1.32
A,1,3,3061,2 VS 3,1.64,1.84,0.2
A,2,3,2893,1 VS 3,0.8,1.75,0.95
A,2,3,3058,2 VS 4,1.87,1.75,-0.12
A,2,3,3127,3 VS 4,1.48,1.87,0.39
A,3,3,2946,1 VS 4,0.7,1.67,0.97
A,3,3,2972,2 VS 4,1.86,1.96,0.1
A,3,3,2986,2 VS 3,1.66,1.38,-0.28
A,3,3,3004,1 VS 3,0.79,1.47,0.68
A,4,3,2917,3 VS 4,1.93,1.93,0
A,4,3,3037,1 VS 3,0.56,1.56,1
A,4,3,3131,2 VS 4,1.56,1.81,0.25
A,1,4,2882,2 VS 3,1.71,1.29,-0.42
A,1,4,2940,3 VS 4,1.47,1.7,0.23
A,1,4,2999,1 VS 3,0.92,1.22,0.3
A,1,4,3061,3 VS 4,1.24,1.51,0.27
A,2,4,2893,2 VS 4,1.87,1.73,-0.14
A,2,4,3058,2 VS 3,1.51,1.36,-0.15
A,2,4,3127,1 VS 4,0.85,1.7,0.85
A,3,4,2946,1 VS 3,0.79,1.39,0.6
A,3,4,2972,2 VS 3,1.83,1.38,-0.45
A,3,4,2986,3 VS 4,1.49,1.69,0.2
A,3,4,3004,2 VS 4,1.54,1.53,-0.01
A,4,4,2917,1 VS 4,0.97,1.59,0.62
A,4,4,3037,2 VS 4,1.76,1.59,-0.17
A,4,4,3131,2 VS 3,1.58,1.7,0.12
A,1,5,2882,3 VS 4,1.15,1.64,0.49
A,1,5,2940,1 VS 4,1.02,1.38,0.36
A,1,5,2999,2 VS 4,1.71,1.69,-0.02
A,1,5,3061,1 VS 4,0.8,1.67,0.87
A,2,5,2893,2 VS 3,1.97,1.45,-0.52
A,2,5,3058,3 VS 4,1.27,1.61,0.34
A,2,5,3127,1 VS 3,0.72,1.2,0.48
A,3,5,2946,2 VS 4,1.52,1.37,-0.15
A,3,5,2972,3 VS 4,1.21,1.56,0.35
A,3,5,2986,1 VS 4,0.75,1.56,0.81
A,3,5,3004,2 VS 3,1.59,1.51,-0.08
A,4,5,2917,1 VS 3,0.87,1.22,0.35
A,4,5,3037,2 VS 3,1.79,1.18,-0.61
A,4,5,3131,3 VS 4,1.34,1.7,0.36
B,1,1,2942,2 VS 3,2.03,1.66,-0.37
B,1,1,2978,2 VS 3,1.93,1.63,-0.3
B,1,1,3110,3 VS 4,1.43,1.94,0.51
B,2,1,2811,2 VS 4,1.64,2.2,0.56
B,2,1,2973,2 VS 4,1.7,2.45,0.75
B,2,1,3003,2 VS 3,1.6,1.81,0.21
B,2,1,3035,1 VS 3,0.82,1.4,0.58
B,3,1,2898,1 VS 4,0.79,2.17,1.38
B,3,1,2915,2 VS 4,1.97,2.07,0.1
B,3,1,3182,1 VS 3,0.85,2.5,1.65
B,3,1,3208,1 VS 3,0.73,1.49,0.76
B,4,1,2976,3 VS 4,1.36,2.11,0.75
B,4,1,3183,1 VS 4,1.03,1.73,0.7
B,4,1,3205,3 VS 4,1.65,1.61,-0.04
B,1,2,2942,3 VS 4,2.4,1.64,-0.76
B,1,2,2978,3 VS 4,1.5,1.93,0.43
B,1,2,3110,1 VS 4,0.67,1.81,1.14
B,2,2,2811,2 VS 3,1.88,1.96,0.08
B,2,2,2973,2 VS 3,1.93,1.56,-0.37
B,2,2,3003,3 VS 4,1.79,2.27,0.48
B,2,2,3035,2 VS 4,1.99,1.8,-0.19
B,3,2,2898,1 VS 3,0.73,1.63,0.9
B,3,2,2915,2 VS 3,1.79,1.82,0.03
B,3,2,3182,2 VS 4,1.93,1.7,-0.23
B,3,2,3208,2 VS 4,1.79,1.64,-0.15
B,4,2,2976,1 VS 4,0.87,2.05,1.18
B,4,2,3183,1 VS 3,0.82,1.8,0.98
B,4,2,3205,1 VS 4,0.91,1.85,0.94
B,1,3,2942,1 VS 4,0.82,2.31,1.49
B,1,3,2978,1 VS 4,0.87,2,1.13
B,1,3,3110,1 VS 3,0.74,1.56,0.82
B,2,3,2811,3 VS 4,1.73,1.96,0.23
B,2,3,2973,3 VS 4,1.38,2.12,0.74
B,2,3,3003,1 VS 4,0.87,2.13,1.26
B,2,3,3035,2 VS 3,1.93,1.6,-0.33
B,3,3,2898,2 VS 4,1.86,1.76,-0.1
B,3,3,2915,3 VS 4,1.75,2.17,0.42
B,3,3,3182,2 VS 3,1.93,1.86,-0.07
B,3,3,3208,2 VS 3,1.63,1.45,-0.18
B,4,3,2976,1 VS 3,0.65,1.47,0.82
B,4,3,3183,2 VS 4,1.83,1.96,0.13
B,4,3,3205,1 VS 3,0.78,1.61,0.83
B,1,4,2942,1 VS 3,0.78,1.37,0.59
B,1,4,2978,1 VS 3,0.65,1.63,0.98
B,1,4,3110,2 VS 4,1.61,1.78,0.17
B,2,4,2811,1 VS 4,0.64,2.37,1.73
B,2,4,2973,1 VS 4,0.76,1.49,0.73
B,2,4,3003,1 VS 3,0.74,1.7,0.96
B,2,4,3035,3 VS 4,2.06,2.08,0.02
B,3,4,2898,2 VS 3,1.48,1.44,-0.04
B,3,4,2915,1 VS 4,0.8,1.48,0.68
B,3,4,3182,3 VS 4,1.17,1.55,0.38
B,3,4,3208,3 VS 4,1.23,1.34,0.11
B,4,4,2976,2 VS 4,1.68,1.61,-0.07
B,4,4,3183,2 VS 3,1.86,1.78,-0.08
B,4,4,3205,2 VS 4,1.88,1.75,-0.13
B,1,5,2942,2 VS 4,1.51,1.59,0.08
B,1,5,2978,2 VS 4,1.8,2.07,0.27
B,1,5,3110,2 VS 3,1.7,1.77,0.07
B,2,5,2811,1 VS 3,0.72,1.29,0.57
B,2,5,2973,1 VS 3,0.85,1.22,0.37
B,2,5,3003,2 VS 4,1.74,1.81,0.07
B,2,5,3035,1 VS 4,0.84,1.57,0.73
B,3,5,2898,3 VS 4,1.4,1.69,0.29
B,3,5,2915,1 VS 3,0.61,1.24,0.63
B,3,5,3182,1 VS 4,0.81,1.45,0.64
B,3,5,3208,1 VS 4,0.69,1.71,1.02
B,4,5,2976,2 VS 3,1.39,1.21,-0.18
B,4,5,3183,3 VS 4,1.93,1.77,-0.16
B,4,5,3205,2 VS 3,1.59,1.15,-0.44
C,1,1,2880,1 VS 3,0.74,1.88,1.14
C,1,1,2991,2 VS 3,1.6,1.8,0.2
C,1,1,3076,2 VS 3,1.97,1.24,-0.73
C,2,1,2831,1 VS 4,0.73,2.25,1.52
C,2,1,3150,1 VS 4,0.58,2.19,1.61
C,2,1,3161,2 VS 4,1.74,2.01,0.27
C,3,1,2975,3 VS 4,1.29,2.18,0.89
C,3,1,3151,1 VS 3,0.7,1.63,0.93
C,3,1,3175,3 VS 4,1.69,1.82,0.13
C,4,1,2810,2 VS 4,1.89,2.14,0.25
C,4,1,2941,1 VS 3,0.67,1.2,0.53
C,4,1,3126,2 VS 3,1.92,2.24,0.32
C,1,2,2880,2 VS 4,2.12,2.44,0.32
C,1,2,2991,3 VS 4,1.64,2.16,0.52
C,1,2,3076,3 VS 4,1.57,1.8,0.23
C,2,2,2831,1 VS 3,1.07,1.6,0.53
C,2,2,3150,1 VS 3,0.82,1.8,0.98
C,2,2,3161,2 VS 3,1.64,1.68,0.04
C,3,2,2975,1 VS 4,0.78,1.81,1.03
C,3,2,3151,2 VS 4,1.66,2.08,0.42
C,3,2,3175,1 VS 4,0.7,1.93,1.23
C,4,2,2810,2 VS 3,1.86,1.6,-0.26
C,4,2,2941,2 VS 4,1.82,2.2,0.38
C,4,2,3126,3 VS 4,1.57,2.31,0.74
C,1,3,2880,2 VS 3,1.85,1.53,-0.32
C,1,3,2991,1 VS 4,0.79,1.97,1.18
C,1,3,3076,1 VS 4,0.9,1.76,0.86
C,2,3,2831,2 VS 4,1.87,1.76,-0.11
C,2,3,3150,2 VS 4,1.91,1.68,-0.23
C,2,3,3161,3 VS 4,0.72,1.43,0.71
C,3,3,2975,1 VS 3,0.89,1.67,0.78
C,3,3,3151,2 VS 3,1.69,1.55,-0.14
C,3,3,3175,1 VS 3,0.79,1.48,0.69
C,4,3,2810,3 VS 4,1.89,1.93,0.04
C,4,3,2941,2 VS 3,1.49,2.01,0.52
C,4,3,3126,1 VS 4,0.76,1.86,1.1
C,1,4,2880,3 VS 4,1.32,1.7,0.38
C,1,4,2991,1 VS 3,0.81,1.29,0.48
C,1,4,3076,1 VS 3,0.69,1.53,0.84
C,2,4,2831,2 VS 3,1.66,1.61,-0.05
C,2,4,3150,2 VS 3,1.85,1.75,-0.1
C,2,4,3161,1 VS 4,0.73,1.56,0.83
C,3,4,2975,2 VS 4,1.26,1.36,0.1
C,3,4,3151,3 VS 4,1.47,1.62,0.15
C,3,4,3175,2 VS 4,1.56,1.49,-0.07
C,4,4,2810,1 VS 4,0.76,1.82,1.06
C,4,4,2941,3 VS 4,1.86,2.2,0.34
C,4,4,3126,1 VS 3,0.73,1.76,1.03
C,1,5,2880,1 VS 4,0.84,1.66,0.82
C,1,5,2991,2 VS 4,1.75,1.49,-0.26
C,1,5,3076,2 VS 4,1.67,2.1,0.43
C,2,5,2831,3 VS 4,1.8,1.9,0.1
C,2,5,3150,3 VS 4,1.71,2.14,0.43
C,2,5,3161,1 VS 3,0.87,1.29,0.42
C,3,5,2975,2 VS 3,1.66,1.56,-0.1
C,3,5,3151,1 VS 4,0.78,1.54,0.76
C,3,5,3175,2 VS 3,1.56,1.2,-0.36
C,4,5,2810,1 VS 3,1.11,1.69,0.58
C,4,5,2941,1 VS 4,0.73,2.14,1.41
C,4,5,3126,2 VS 4,1.72,2.09,0.37