"","position","lizard_id","trt","sex","current_enclosure","clutch","hatch_date","test_date","age","notes","day","test_type","pos_high_lat","pos_high_risk","choice","lat_high","lat_low","time_high","time_low","compared_interest","ratio_interest","side_choice","temp","cort"
"133","E4",2943,"A_23","m","E323_23","CL811_24","26/1/2024","18/5/2024",113,"",2,"3 VS 4","Left","Close",1,539,43,35,27,8,0.129032258,"Left","Cold","Control"
"134","E4",3077,"B_28","m","E689_23","CL845_24","15/1/2024","18/5/2024",124,"",2,"3 VS 4","Right","Close",1,144,NA,NA,NA,NA,NA,"Right","Hot","CORT"
"135","F1",2813,"A_23","m","E778_23","CL773_24","15/1/2024","18/5/2024",124,"",2,"2 VS 3","Left","Close",1,958,1827,28,33,-5,-0.081967213,"Left","Cold","Control"
"136","F1",2859,"B_23","f","E1027_23","CL789_24","19/1/2024","18/5/2024",120,"",2,"1 VS 4","Right","Close",0,1268,1224,123,6,117,0.906976744,"Left","Cold","CORT"
"137","F1",3117,"A_28","f","E669_23","CL855_24","15/1/2024","18/5/2024",124,"",2,"3 VS 4","Right","Close",1,296,500,NA,NA,NA,NA,"Right","Hot","Control"
"138","F2",2933,"A_23","f","E736_23","CL809_24","26/1/2024","18/5/2024",113,"Might be three clutches.",2,"2 VS 4","Left","Close",0,626,243,107,261,-154,-0.418478261,"Right","Cold","Control"
"139","F2",2947,"B_23","m","E359_23","CL812_24","22/1/2024","18/5/2024",117,"",2,"3 VS 4","Left","Far",0,234,148,60,59,1,0.008403361,"Right","Cold","CORT"
"140","F2",3059,"B_28","f","E176_23","CL840_24","10/1/2024","18/5/2024",129,"",2,"2 VS 3","Right","Far",0,1598,1353,70,110,-40,-0.222222222,"Left","Hot","CORT"
"141","F3",2977,"B_23","f","E612_23","CL819_24","24/1/2024","18/5/2024",115,"Might be two clutches.",2,"2 VS 3","Right","Close",0,305,86,106,189,-83,-0.281355932,"Left","Cold","CORT"
"142","F3",2988,"B_28","f","E064_23","CL821_24","10/1/2024","18/5/2024",129,"",2,"2 VS 4","Left","Far",1,407,524,NA,NA,NA,NA,"Left","Hot","CORT"
"143","F3",3172,"A_28","f","E774_23","CL868_24","15/1/2024","18/5/2024",124,"Likely multiple clutches, but delineation unclear.",2,"2 VS 3","Left","Close",1,312,410,112,58,54,0.317647059,"Left","Hot","Control"
"144","F4",2935,"A_23","m","E539_23","CL809_24","26/1/2024","18/5/2024",113,"Might be three clutches.",2,"1 VS 3","Left","Close",0,335,97,66,61,5,0.039370079,"Right","Cold","Control"
"145","F4",2998,"B_28","m","E167_23","CL823_24","8/1/2024","18/5/2024",131,"",2,"1 VS 3","Left","Far",0,2462,2384,139,28,111,0.664670659,"Right","Hot","CORT"
"146","F4",3134,"A_28","f","E777_23","CL860_24","12/1/2024","18/5/2024",127,"",2,"2 VS 4","Left","Close",1,1461,1531,19,64,-45,-0.542168675,"Left","Hot","Control"
"147","G1",2799,"A_23","f","E631_23","CL769_24","15/1/2024","18/5/2024",124,"",2,"1 VS 4","Left","Close",1,826,1334,273,18,255,0.87628866,"Left","Cold","Control"
"148","G1",2866,"B_23","f","E644_23","CL792_24","17/1/2024","18/5/2024",122,"",2,"2 VS 4","Left","Far",0,1571,1206,7,19,-12,-0.461538462,"Right","Cold","CORT"
"149","G1",3128,"B_28","f","E848_23","CL858_24","15/1/2024","18/5/2024",124,"",2,"1 VS 4","Right","Far",0,NA,1258,NA,NA,NA,NA,"Left","Hot","CORT"
"150","G1",3209,"A_28","m","E408_23","CL875_24","15/1/2024","18/5/2024",124,"",2,"1 VS 3","Left","Close",1,203,754,290,300,-10,-0.016949153,"Left","Hot","Control"
"151","G2",2826,"A_23","m","E502_23","CL779_24","15/1/2024","18/5/2024",124,"",2,"3 VS 4","Right","Far",1,1153,313,38,24,14,0.225806452,"Right","Cold","Control"
"152","G2",2894,"B_23","f","E181_23","CL798_24","24/1/2024","18/5/2024",115,"",2,"1 VS 3","Right","Close",0,468,189,132,245,-113,-0.299734748,"Left","Cold","CORT"
"153","G2",3000,"A_28","m","E193_23","CL823_24","8/1/2024","18/5/2024",131,"",2,"1 VS 4","Right","Far",1,168,195,55,59,-4,-0.035087719,"Right","Hot","Control"
"154","G3",2846,"A_23","f","E766_23","CL785_24","15/1/2024","18/5/2024",124,"",2,"2 VS 3","Right","Close",1,314,1229,195,106,89,0.295681063,"Right","Cold","Control"
"155","G3",3146,"A_28","f","E069_23","CL862_24","12/1/2024","18/5/2024",127,"",2,"3 VS 4","Right","Close",1,204,2345,120,15,105,0.777777778,"Right","Hot","Control"
"156","G3",3167,"B_28","f","E639_23","CL867_24","15/1/2024","18/5/2024",124,"Likely multiple clutches, but delineation unclear.",2,"3 VS 4","Left","Close",1,500,927,50,86,-36,-0.264705882,"Left","Hot","CORT"
"157","G4",2817,"A_23","m","E627_23","CL774_24","15/1/2024","18/5/2024",124,"",2,"2 VS 4","Left","Far",1,269,475,54,17,37,0.521126761,"Left","Cold","Control"
"158","G4",2932,"B_23","m","E190_23","CL809_24","26/1/2024","18/5/2024",113,"Might be three clutches.",2,"1 VS 4","Left","Close",1,76,227,127,78,49,0.23902439,"Left","Cold","CORT"
"159","G4",3130,"B_28","f","E416_23","CL859_24","15/1/2024","18/5/2024",124,"",2,"2 VS 3","Left","Far",0,722,553,66,65,1,0.007633588,"Right","Hot","CORT"
"160","G4",3133,"A_28","f","E558_23","CL859_24","12/1/2024","18/5/2024",127,"",2,"2 VS 3","Right","Far",0,178,145,29,106,-77,-0.57037037,"Left","Hot","Control"
"161","A1",2882,"A_23","m","E552_23","CL796_24","19/1/2024","18/5/2024",120,"",3,"2 VS 4","Right","Far",0,590,413,33,15,18,0.375,"Left","Cold","Control"
"162","A1",2940,"B_28","m","E236_23","CL810_24","3/1/2024","18/5/2024",136,"",3,"2 VS 3","Right","Close",1,1686,2168,78,53,25,0.190839695,"Right","Hot","CORT"
"163","A1",2999,"B_23","f","E659_23","CL823_24","28/1/2024","18/5/2024",111,"",3,"1 VS 4","Right","Close",0,3321,2587,147,99,48,0.195121951,"Left","Cold","CORT"
"164","A1",3061,"A_28","f","E755_23","CL840_24","8/1/2024","18/5/2024",131,"",3,"2 VS 3","Right","Far",0,839,616,43,72,-29,-0.252173913,"Left","Hot","Control"
"165","A2",2893,"A_23","m","E338_23","CL798_24","24/1/2024","18/5/2024",115,"",3,"1 VS 3","Left","Far",1,89,151,44,98,-54,-0.38028169,"Left","Cold","Control"
"166","A2",3058,"A_28","f","E171_23","CL839_24","10/1/2024","18/5/2024",129,"",3,"2 VS 4","Right","Far",0,1009,966,54,138,-84,-0.4375,"Left","Hot","Control"
"167","A2",3127,"B_23","f","E714_23","CL858_24","2/2/2024","18/5/2024",106,"",3,"3 VS 4","Right","Far",0,217,185,8,46,-38,-0.703703704,"Left","Cold","CORT"
"168","A3",2946,"A_23","m","E681_23","CL812_24","22/1/2024","18/5/2024",117,"",3,"1 VS 4","Right","Far",0,314,257,57,71,-14,-0.109375,"Left","Cold","Control"
"169","A3",2972,"B_28","f","E261_23","CL818_24","5/1/2024","18/5/2024",134,"",3,"2 VS 4","Right","Far",0,437,399,56,63,-7,-0.058823529,"Left","Hot","CORT"
"170","A3",2986,"B_23","m","E648_23","CL821_24","28/1/2024","18/5/2024",111,"",3,"2 VS 3","Left","Far",1,165,259,117,63,54,0.3,"Left","Cold","CORT"
"171","A3",3004,"A_28","m","E161_23","CL824_24","8/1/2024","18/5/2024",131,"",3,"1 VS 3","Right","Close",0,2372,483,51,267,-216,-0.679245283,"Left","Hot","Control"
"172","A4",2917,"A_23","m","E629_23","CL805_24","22/1/2024","18/5/2024",117,"",3,"3 VS 4","Left","Far",1,44,65,42,24,18,0.272727273,"Left","Cold","Control"
"173","A4",3037,"B_28","f","E237_23","CL832_24","8/1/2024","18/5/2024",131,"",3,"1 VS 3","Left","Close",1,293,418,32,61,-29,-0.311827957,"Left","Hot","CORT"
"174","A4",3131,"B_23","m","E3101_23","CL859_24","2/2/2024","18/5/2024",106,"",3,"2 VS 4","Left","Far",1,229,293,44,66,-22,-0.2,"Left","Cold","CORT"
"175","B1",2942,"A_28","m","E239_23","CL811_24","3/1/2024","18/5/2024",136,"",3,"1 VS 4","Left","Close",0,1497,397,96,78,18,0.103448276,"Right","Hot","Control"
"176","B1",2978,"B_28","m","E677_23","CL819_24","5/1/2024","18/5/2024",134,"Might be two clutches.",3,"1 VS 4","Right","Far",0,1972,1811,99,92,7,0.036649215,"Left","Hot","CORT"
"177","B1",3110,"B_23","f","E119_23","CL853_24","2/2/2024","18/5/2024",106,"",3,"1 VS 3","Left","Far",1,90,379,152,40,112,0.583333333,"Left","Cold","CORT"
"178","B2",2811,"B_28","m","E789_23","CL772_24","17/1/2024","18/5/2024",122,"",3,"3 VS 4","Left","Far",0,650,437,136,142,-6,-0.021582734,"Right","Hot","CORT"
"179","B2",2973,"A_28","m","E735_23","CL818_24","5/1/2024","18/5/2024",134,"",3,"3 VS 4","Left","Close",1,220,362,108,120,-12,-0.052631579,"Left","Hot","Control"
"180","B2",3003,"B_23","f","E4005_23","CL824_24","31/1/2024","18/5/2024",108,"",3,"1 VS 4","Right","Far",1,235,448,206,92,114,0.382550336,"Right","Cold","CORT"
"181","B2",3035,"A_23","m","E1017_23","CL832_24","24/1/2024","18/5/2024",115,"",3,"2 VS 3","Right","Close",1,1007,1508,103,83,20,0.107526882,"Right","Cold","Control"
"182","B3",2898,"A_23","f","E425_23","CL800_24","19/1/2024","18/5/2024",120,"",3,"2 VS 4","Left","Far",0,551,468,145,123,22,0.082089552,"Right","Cold","Control"
"183","B3",2915,"B_23","m","E247_23","CL804_24","22/1/2024","18/5/2024",117,"",3,"3 VS 4","Left","Close",1,637,143,186,149,37,0.110447761,"Left","Cold","CORT"
"184","B3",3182,"A_28","m","E802_23","CL870_24","17/1/2024","18/5/2024",122,"",3,"2 VS 3","Left","Close",0,763,590,66,180,-114,-0.463414634,"Right","Hot","Control"
"185","B3",3208,"B_28","f","E200_23","CL875_24","19/1/2024","18/5/2024",120,"",3,"2 VS 3","Left","Far",1,540,736,174,200,-26,-0.069518717,"Left","Hot","CORT"
"186","B4",2976,"A_23","m","E722_23","CL819_24","22/1/2024","18/5/2024",117,"Might be two clutches.",3,"1 VS 3","Right","Close",1,98,244,148,124,24,0.088235294,"Right","Cold","Control"
"187","B4",3183,"B_28","m","E151_23","CL870_24","17/1/2024","18/5/2024",122,"",3,"2 VS 4","Left","Close",1,717,832,17,102,-85,-0.714285714,"Left","Hot","CORT"
"188","B4",3205,"B_28","f","E772_23","CL875_24","17/1/2024","18/5/2024",122,"",3,"1 VS 3","Left","Far",0,1147,1066,86,38,48,0.387096774,"Right","Hot","CORT"
"189","C1",2880,"B_23","m","E427_23","CL796_24","19/1/2024","18/5/2024",120,"",3,"2 VS 3","Right","Close",1,327,396,113,26,87,0.625899281,"Right","Cold","CORT"
"190","C1",2991,"A_23","f","E976_23","CL821_24","24/1/2024","18/5/2024",115,"",3,"1 VS 4","Right","Close",1,562,598,39,36,3,0.04,"Right","Cold","Control"
"191","C1",3076,"B_28","f","E0143_23","CL845_24","12/1/2024","18/5/2024",127,"",3,"1 VS 4","Right","Far",1,1604,2242,120,186,-66,-0.215686275,"Right","Hot","CORT"
"192","C2",2831,"B_23","m","E705_23","CL780_24","17/1/2024","18/5/2024",122,"",3,"2 VS 4","Left","Far",1,1095,1152,120,110,10,0.043478261,"Left","Cold","CORT"
"193","C2",3150,"A_28","f","E094_23","CL864_24","17/1/2024","18/5/2024",122,"",3,"2 VS 4","Right","Far",0,1246,630,127,77,50,0.245098039,"Left","Hot","Control"
"194","C2",3161,"B_28","f","E664_23","CL866_24","17/1/2024","18/5/2024",122,"",3,"3 VS 4","Left","Close",1,192,295,82,145,-63,-0.27753304,"Left","Hot","CORT"
"195","C3",2975,"B_23","m","E915_23","CL819_24","24/1/2024","18/5/2024",115,"Might be two clutches.",3,"1 VS 3","Left","Far",1,154,397,141,139,2,0.007142857,"Left","Cold","CORT"
"196","C3",3151,"B_28","f","E801_23","CL864_24","17/1/2024","18/5/2024",122,"",3,"2 VS 3","Right","Close",0,388,313,118,144,-26,-0.099236641,"Left","Hot","CORT"
"197","C3",3175,"A_28","f","E733_23","CL868_24","15/1/2024","18/5/2024",124,"Likely multiple clutches, but delineation unclear.",3,"1 VS 3","Left","Close",1,231,292,35,67,-32,-0.31372549,"Left","Hot","Control"
"198","C4",2810,"A_23","m","E582_23","CL772_24","17/1/2024","18/5/2024",122,"",3,"3 VS 4","Left","Far",0,842,745,115,100,15,0.069767442,"Right","Cold","Control"
"199","C4",2941,"A_23","m","E045_23","CL810_24","22/1/2024","18/5/2024",117,"",3,"2 VS 3","Right","Far",0,1633,1072,142,153,-11,-0.037288136,"Left","Cold","Control"
"200","C4",3126,"A_28","f","E817_23","CL858_24","15/1/2024","18/5/2024",124,"",3,"1 VS 4","Left","Close",1,861,965,82,49,33,0.251908397,"Left","Hot","Control"
"201","E1",2869,"B_23","f","E411_23","CL793_24","19/1/2024","18/5/2024",120,"",3,"1 VS 4","Left","Far",1,6341,6402,18,21,-3,-0.076923077,"Left","Cold","CORT"
"202","E1",3019,"A_28","f","E074_23","CL828_24","8/1/2024","18/5/2024",131,"",3,"3 VS 4","Right","Far",1,731,3854,62,35,27,0.278350515,"Right","Hot","Control"
"203","E1",3168,"A_28","f","E534_23","CL867_24","15/1/2024","18/5/2024",124,"Likely multiple clutches, but delineation unclear.",3,"2 VS 3","Right","Close",0,3222,2648,19,37,-18,-0.321428571,"Left","Hot","Control"
"204","E2",2897,"B_23","f","E473_23","CL800_24","22/1/2024","18/5/2024",117,"",3,"3 VS 4","Left","Far",0,1426,1323,34,86,-52,-0.433333333,"Right","Cold","CORT"
"205","E2",3022,"A_23","f","E478_23","CL829_24","22/1/2024","18/5/2024",117,"",3,"2 VS 4","Right","Far",1,3039,3395,61,58,3,0.025210084,"Right","Cold","Control"
"206","E2",3119,"B_28","m","E713_23","CL855_24","15/1/2024","18/5/2024",124,"",3,"2 VS 4","Right","Close",0,201,113,50,48,2,0.020408163,"Left","Hot","CORT"
"207","E2",3121,"A_28","f","E377_23","CL856_24","15/1/2024","18/5/2024",124,"",3,"2 VS 4","Left","Close",0,497,895,47,133,-86,-0.477777778,"Right","Hot","Control"
"208","E3",2812,"B_23","m","E278_23","CL772_24","17/1/2024","18/5/2024",122,"",3,"2 VS 3","Left","Close",1,1647,1724,91,58,33,0.22147651,"Left","Cold","CORT"
"209","E3",2844,"A_23","m","E1728_23","CL784_24","15/1/2024","18/5/2024",124,"",3,"1 VS 3","Left","Far",0,154,115,51,63,-12,-0.105263158,"Right","Cold","Control"
"210","E3",3002,"B_28","f","E787_23","CL824_24","8/1/2024","18/5/2024",131,"",3,"1 VS 3","Left","Close",1,1351,1666,264,92,172,0.483146067,"Left","Hot","CORT"
"211","E3",3075,"A_28","m","E827_23","CL845_24","15/1/2024","18/5/2024",124,"",3,"1 VS 3","Right","Close",1,213,338,52,103,-51,-0.329032258,"Right","Hot","Control"
"212","E4",2934,"B_23","f","E159_23","CL809_24","24/1/2024","18/5/2024",115,"Might be three clutches.",3,"2 VS 4","Right","Far",0,595,449,42,106,-64,-0.432432432,"Left","Cold","CORT"
"213","E4",2943,"A_23","m","E323_23","CL811_24","26/1/2024","18/5/2024",113,"",3,"1 VS 4","Left","Close",1,1198,1243,22,6,16,0.571428571,"Left","Cold","Control"
"214","E4",3077,"B_28","m","E689_23","CL845_24","15/1/2024","18/5/2024",124,"",3,"1 VS 4","Right","Close",1,417,859,49,22,27,0.38028169,"Right","Hot","CORT"
"215","F1",2813,"A_23","m","E778_23","CL773_24","15/1/2024","18/5/2024",124,"",3,"3 VS 4","Right","Far",0,699,266,10,16,-6,-0.230769231,"Left","Cold","Control"
"216","F1",2859,"B_23","f","E1027_23","CL789_24","19/1/2024","18/5/2024",120,"",3,"1 VS 3","Left","Far",1,1036,1451,20,239,-219,-0.845559846,"Left","Cold","CORT"
"217","F1",3117,"A_28","f","E669_23","CL855_24","15/1/2024","18/5/2024",124,"",3,"1 VS 4","Right","Close",1,395,1322,81,149,-68,-0.295652174,"Right","Hot","Control"
"218","F2",2933,"A_23","f","E736_23","CL809_24","26/1/2024","18/5/2024",113,"Might be three clutches.",3,"2 VS 3","Left","Close",1,76,539,69,50,19,0.159663866,"Left","Cold","Control"
"219","F2",2947,"B_23","m","E359_23","CL812_24","22/1/2024","18/5/2024",117,"",3,"1 VS 4","Left","Far",0,338,235,74,89,-15,-0.09202454,"Right","Cold","CORT"
"220","F2",3059,"B_28","f","E176_23","CL840_24","10/1/2024","18/5/2024",129,"",3,"3 VS 4","Left","Close",1,628,766,55,31,24,0.279069767,"Left","Hot","CORT"
"221","F3",2977,"B_23","f","E612_23","CL819_24","24/1/2024","18/5/2024",115,"Might be two clutches.",3,"3 VS 4","Right","Close",1,93,297,126,38,88,0.536585366,"Right","Cold","CORT"
"222","F3",2988,"B_28","f","E064_23","CL821_24","10/1/2024","18/5/2024",129,"",3,"2 VS 3","Left","Far",0,448,413,62,82,-20,-0.138888889,"Right","Hot","CORT"
"223","F3",3172,"A_28","f","E774_23","CL868_24","15/1/2024","18/5/2024",124,"Likely multiple clutches, but delineation unclear.",3,"3 VS 4","Left","Close",1,534,578,117,42,75,0.471698113,"Left","Hot","Control"
"224","F4",2935,"A_23","m","E539_23","CL809_24","26/1/2024","18/5/2024",113,"Might be three clutches.",3,"2 VS 4","Right","Far",0,289,213,116,90,26,0.126213592,"Left","Cold","Control"
"225","F4",2998,"B_28","m","E167_23","CL823_24","8/1/2024","18/5/2024",131,"",3,"2 VS 4","Left","Far",0,2502,2400,48,42,6,0.066666667,"Right","Hot","CORT"
"226","F4",3134,"A_28","f","E777_23","CL860_24","12/1/2024","18/5/2024",127,"",3,"2 VS 3","Right","Far",0,1719,1401,70,55,15,0.12,"Left","Hot","Control"
"227","G1",2799,"A_23","f","E631_23","CL769_24","15/1/2024","18/5/2024",124,"",3,"1 VS 3","Left","Close",1,600,937,63,31,32,0.340425532,"Left","Cold","Control"
"228","G1",2866,"B_23","f","E644_23","CL792_24","17/1/2024","18/5/2024",122,"",3,"2 VS 3","Left","Far",1,2019,2071,31,28,3,0.050847458,"Left","Cold","CORT"
"229","G1",3128,"B_28","f","E848_23","CL858_24","15/1/2024","18/5/2024",124,"",3,"1 VS 3","Left","Far",0,2863,2039,37,242,-205,-0.734767025,"Right","Hot","CORT"
"230","G1",3209,"A_28","m","E408_23","CL875_24","15/1/2024","18/5/2024",124,"",3,"2 VS 4","Right","Close",1,101,671,127,136,-9,-0.034220532,"Right","Hot","Control"
"231","G2",2826,"A_23","m","E502_23","CL779_24","15/1/2024","18/5/2024",124,"",3,"1 VS 4","Right","Far",0,904,618,46,85,-39,-0.297709924,"Left","Cold","Control"
"232","G2",2894,"B_23","f","E181_23","CL798_24","24/1/2024","18/5/2024",115,"",3,"2 VS 4","Left","Far",1,46,151,48,54,-6,-0.058823529,"Left","Cold","CORT"
"233","G2",3000,"A_28","m","E193_23","CL823_24","8/1/2024","18/5/2024",131,"",3,"1 VS 3","Left","Close",1,467,551,57,26,31,0.373493976,"Left","Hot","Control"
"234","G3",2846,"A_23","f","E766_23","CL785_24","15/1/2024","18/5/2024",124,"",3,"3 VS 4","Left","Far",0,357,302,220,42,178,0.679389313,"Right","Cold","Control"
"235","G3",3146,"A_28","f","E069_23","CL862_24","12/1/2024","18/5/2024",127,"",3,"1 VS 4","Left","Far",0,2264,357,67,59,8,0.063492063,"Right","Hot","Control"
"236","G3",3167,"B_28","f","E639_23","CL867_24","15/1/2024","18/5/2024",124,"Likely multiple clutches, but delineation unclear.",3,"1 VS 4","Right","Far",0,781,653,23,22,1,0.022222222,"Left","Hot","CORT"
"237","G4",2817,"A_23","m","E627_23","CL774_24","15/1/2024","18/5/2024",124,"",3,"2 VS 3","Right","Close",1,178,206,19,14,5,0.151515152,"Right","Cold","Control"
"238","G4",2932,"B_23","m","E190_23","CL809_24","26/1/2024","18/5/2024",113,"Might be three clutches.",3,"1 VS 3","Left","Close",0,321,199,116,70,46,0.247311828,"Right","Cold","CORT"
"239","G4",3130,"B_28","f","E416_23","CL859_24","15/1/2024","18/5/2024",124,"",3,"3 VS 4","Right","Close",1,528,811,82,39,43,0.355371901,"Right","Hot","CORT"
"240","G4",3133,"A_28","f","E558_23","CL859_24","12/1/2024","18/5/2024",127,"",3,"3 VS 4","Left","Close",1,159,202,237,23,214,0.823076923,"Left","Hot","Control"
"241","A1",2882,"A_23","m","E552_23","CL796_24","19/1/2024","18/5/2024",120,"",4,"2 VS 3","Left","Close",1,923,1641,21,10,11,0.35483871,"Left","Cold","Control"
"242","A1",2940,"B_28","m","E236_23","CL810_24","3/1/2024","18/5/2024",136,"",4,"3 VS 4","Right","Close",1,2748,3539,43,241,-198,-0.697183099,"Right","Hot","CORT"
"243","A1",2999,"B_23","f","E659_23","CL823_24","28/1/2024","18/5/2024",111,"",4,"1 VS 3","Left","Far",0,3334,2922,100,173,-73,-0.267399267,"Right","Cold","CORT"
"244","A1",3061,"A_28","f","E755_23","CL840_24","8/1/2024","18/5/2024",131,"",4,"3 VS 4","Left","Close",0,1145,1071,117,97,20,0.093457944,"Right","Hot","Control"
"245","A2",2893,"A_23","m","E338_23","CL798_24","24/1/2024","18/5/2024",115,"",4,"2 VS 4","Right","Close",1,113,177,27,60,-33,-0.379310345,"Right","Cold","Control"
"246","A2",3058,"A_28","f","E171_23","CL839_24","10/1/2024","18/5/2024",129,"",4,"2 VS 3","Right","Far",0,1322,1266,13,24,-11,-0.297297297,"Left","Hot","Control"
"247","A2",3127,"B_23","f","E714_23","CL858_24","2/2/2024","18/5/2024",106,"",4,"1 VS 4","Right","Far",1,1344,1769,39,61,-22,-0.22,"Right","Cold","CORT"
"248","A3",2946,"A_23","m","E681_23","CL812_24","22/1/2024","18/5/2024",117,"",4,"1 VS 3","Left","Close",1,135,158,18,219,-201,-0.848101266,"Left","Cold","Control"
"249","A3",2972,"B_28","f","E261_23","CL818_24","5/1/2024","18/5/2024",134,"",4,"2 VS 3","Right","Far",0,423,392,25,33,-8,-0.137931034,"Left","Hot","CORT"
"250","A3",2986,"B_23","m","E648_23","CL821_24","28/1/2024","18/5/2024",111,"",4,"3 VS 4","Left","Far",1,343,376,83,24,59,0.551401869,"Left","Cold","CORT"
"251","A3",3004,"A_28","m","E161_23","CL824_24","8/1/2024","18/5/2024",131,"",4,"2 VS 4","Right","Close",0,860,828,37,47,-10,-0.119047619,"Left","Hot","Control"
"252","A4",2917,"A_23","m","E629_23","CL805_24","22/1/2024","18/5/2024",117,"",4,"1 VS 4","Left","Far",0,207,121,55,62,-7,-0.05982906,"Right","Cold","Control"
"253","A4",3037,"B_28","f","E237_23","CL832_24","8/1/2024","18/5/2024",131,"",4,"2 VS 4","Right","Far",1,490,605,49,33,16,0.195121951,"Right","Hot","CORT"
"254","A4",3131,"B_23","m","E3101_23","CL859_24","2/2/2024","18/5/2024",106,"",4,"2 VS 3","Right","Close",1,99,196,65,33,32,0.326530612,"Right","Cold","CORT"
"255","B1",2942,"A_28","m","E239_23","CL811_24","3/1/2024","18/5/2024",136,"",4,"1 VS 3","Left","Close",0,908,405,104,173,-69,-0.249097473,"Right","Hot","Control"
"256","B1",2978,"B_28","m","E677_23","CL819_24","5/1/2024","18/5/2024",134,"Might be two clutches.",4,"1 VS 3","Left","Close",1,2375,2422,79,46,33,0.264,"Left","Hot","CORT"
"257","B1",3110,"B_23","f","E119_23","CL853_24","2/2/2024","18/5/2024",106,"",4,"2 VS 4","Left","Far",0,387,53,55,166,-111,-0.502262443,"Right","Cold","CORT"
"258","B2",2811,"B_28","m","E789_23","CL772_24","17/1/2024","18/5/2024",122,"",4,"1 VS 4","Right","Close",1,481,697,160,168,-8,-0.024390244,"Right","Hot","CORT"
"259","B2",2973,"A_28","m","E735_23","CL818_24","5/1/2024","18/5/2024",134,"",4,"1 VS 4","Left","Close",0,239,111,55,151,-96,-0.466019417,"Right","Hot","Control"
"260","B2",3003,"B_23","f","E4005_23","CL824_24","31/1/2024","18/5/2024",108,"",4,"1 VS 3","Right","Far",0,348,125,39,226,-187,-0.705660377,"Left","Cold","CORT"
"261","B2",3035,"A_23","m","E1017_23","CL832_24","24/1/2024","18/5/2024",115,"",4,"3 VS 4","Left","Far",0,1487,1245,114,49,65,0.398773006,"Right","Cold","Control"
"262","B3",2898,"A_23","f","E425_23","CL800_24","19/1/2024","18/5/2024",120,"",4,"2 VS 3","Left","Far",0,1008,820,73,186,-113,-0.436293436,"Right","Cold","Control"
"263","B3",2915,"B_23","m","E247_23","CL804_24","22/1/2024","18/5/2024",117,"",4,"1 VS 4","Left","Close",1,375,720,279,87,192,0.524590164,"Left","Cold","CORT"
"264","B3",3182,"A_28","m","E802_23","CL870_24","17/1/2024","18/5/2024",122,"",4,"3 VS 4","Left","Close",1,1125,1552,26,70,-44,-0.458333333,"Left","Hot","Control"
"265","B3",3208,"B_28","f","E200_23","CL875_24","19/1/2024","18/5/2024",120,"",4,"3 VS 4","Right","Far",1,1076,1152,92,165,-73,-0.284046693,"Right","Hot","CORT"
"266","B4",2976,"A_23","m","E722_23","CL819_24","22/1/2024","18/5/2024",117,"Might be two clutches.",4,"2 VS 4","Right","Close",1,198,631,264,141,123,0.303703704,"Right","Cold","Control"
